"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","세출결산액"
"2016","서울","1100000","서울본청","010","일반공공행정","011","입법및선거관리","20076632688"
"2016","서울","1100000","서울본청","010","일반공공행정","013","지방행정ㆍ재정지원","2026403950"
"2016","서울","1100000","서울본청","010","일반공공행정","014","재정ㆍ금융","473718524026"
"2016","서울","1100000","서울본청","010","일반공공행정","016","일반행정","783622540185"
"2016","서울","1100000","서울본청","020","공공질서및안전","023","경찰","1133720609"
"2016","서울","1100000","서울본청","020","공공질서및안전","025","재난방재ㆍ민방위","32079562620"
"2016","서울","1100000","서울본청","020","공공질서및안전","026","소방","176515409702"
"2016","서울","1100000","서울본청","050","교육","051","유아및초중등교육","3008272065013"
"2016","서울","1100000","서울본청","050","교육","053","평생ㆍ직업교육","8185907228"
"2016","서울","1100000","서울본청","060","문화및관광","061","문화예술","210331653662"
"2016","서울","1100000","서울본청","060","문화및관광","062","관광","44581814023"
"2016","서울","1100000","서울본청","060","문화및관광","063","체육","121153397682"
"2016","서울","1100000","서울본청","060","문화및관광","064","문화재","99425729904"
"2016","서울","1100000","서울본청","060","문화및관광","065","문화및관광일반","28007240390"
"2016","서울","1100000","서울본청","070","환경보호","071","상하수도ㆍ수질","1250065444800"
"2016","서울","1100000","서울본청","070","환경보호","072","폐기물","175996281754"
"2016","서울","1100000","서울본청","070","환경보호","073","대기","267309565200"
"2016","서울","1100000","서울본청","070","환경보호","074","자연","38573201070"
"2016","서울","1100000","서울본청","070","환경보호","076","환경보호일반","68747980203"
"2016","서울","1100000","서울본청","080","사회복지","082","취약계층지원","1462669590002"
"2016","서울","1100000","서울본청","080","사회복지","084","보육ㆍ가족및여성","270748363640"
"2016","서울","1100000","서울본청","080","사회복지","085","노인ㆍ청소년","275436874551"
"2016","서울","1100000","서울본청","080","사회복지","086","노동","64534437636"
"2016","서울","1100000","서울본청","080","사회복지","088","주택","1092442973268"
"2016","서울","1100000","서울본청","080","사회복지","089","사회복지일반","9668445154"
"2016","서울","1100000","서울본청","090","보건","091","보건의료","157517899012"
"2016","서울","1100000","서울본청","090","보건","093","식품의약안전","2689526213"
"2016","서울","1100000","서울본청","100","농림해양수산","101","농업ㆍ농촌","9504573325"
"2016","서울","1100000","서울본청","110","산업ㆍ중소기업","113","무역및투자유치","10737669805"
"2016","서울","1100000","서울본청","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","191797981463"
"2016","서울","1100000","서울본청","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","23995618121"
"2016","서울","1100000","서울본청","120","수송및교통","121","도로","847525438466"
"2016","서울","1100000","서울본청","120","수송및교통","123","도시철도","528836488696"
"2016","서울","1100000","서울본청","120","수송및교통","126","대중교통ㆍ물류등기타","1715876569052"
"2016","서울","1100000","서울본청","140","국토및지역개발","141","수자원","243745470361"
"2016","서울","1100000","서울본청","140","국토및지역개발","142","지역및도시","361383225355"
"2016","서울","1100000","서울본청","140","국토및지역개발","143","산업단지","499459603"
"2016","서울","1100000","서울본청","150","과학기술","153","과학기술일반","1378578560"
"2016","서울","1100000","서울본청","160","예비비","161","예비비","0"
"2016","서울","1100000","서울본청","900","기타","901","기타","1549844749476"
"2016","서울","1111000","서울종로구","010","일반공공행정","011","입법및선거관리","1316759340"
"2016","서울","1111000","서울종로구","010","일반공공행정","013","지방행정ㆍ재정지원","576881830"
"2016","서울","1111000","서울종로구","010","일반공공행정","016","일반행정","31625810530"
"2016","서울","1111000","서울종로구","020","공공질서및안전","025","재난방재ㆍ민방위","1060563050"
"2016","서울","1111000","서울종로구","050","교육","051","유아및초중등교육","4728412600"
"2016","서울","1111000","서울종로구","050","교육","053","평생ㆍ직업교육","238339390"
"2016","서울","1111000","서울종로구","060","문화및관광","061","문화예술","5054596300"
"2016","서울","1111000","서울종로구","060","문화및관광","062","관광","1386189180"
"2016","서울","1111000","서울종로구","060","문화및관광","063","체육","14205676590"
"2016","서울","1111000","서울종로구","060","문화및관광","064","문화재","3585163270"
"2016","서울","1111000","서울종로구","070","환경보호","071","상하수도ㆍ수질","3185429280"
"2016","서울","1111000","서울종로구","070","환경보호","072","폐기물","19161223380"
"2016","서울","1111000","서울종로구","070","환경보호","073","대기","51710310"
"2016","서울","1111000","서울종로구","070","환경보호","076","환경보호일반","75431460"
"2016","서울","1111000","서울종로구","080","사회복지","081","기초생활보장","16796823770"
"2016","서울","1111000","서울종로구","080","사회복지","082","취약계층지원","12131526790"
"2016","서울","1111000","서울종로구","080","사회복지","084","보육ㆍ가족및여성","34538897410"
"2016","서울","1111000","서울종로구","080","사회복지","085","노인ㆍ청소년","37153128890"
"2016","서울","1111000","서울종로구","080","사회복지","086","노동","2811623320"
"2016","서울","1111000","서울종로구","080","사회복지","089","사회복지일반","10995990"
"2016","서울","1111000","서울종로구","090","보건","091","보건의료","6342334440"
"2016","서울","1111000","서울종로구","090","보건","093","식품의약안전","59110050"
"2016","서울","1111000","서울종로구","100","농림해양수산","102","임업ㆍ산촌","595768840"
"2016","서울","1111000","서울종로구","110","산업ㆍ중소기업","115","에너지및자원개발","380371790"
"2016","서울","1111000","서울종로구","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","1681552620"
"2016","서울","1111000","서울종로구","120","수송및교통","121","도로","10564669490"
"2016","서울","1111000","서울종로구","120","수송및교통","126","대중교통ㆍ물류등기타","10485519610"
"2016","서울","1111000","서울종로구","140","국토및지역개발","142","지역및도시","9091557680"
"2016","서울","1111000","서울종로구","160","예비비","161","예비비","0"
"2016","서울","1111000","서울종로구","900","기타","901","기타","101850495280"
"2016","서울","1112000","서울중구","010","일반공공행정","011","입법및선거관리","1051200793"
"2016","서울","1112000","서울중구","010","일반공공행정","013","지방행정ㆍ재정지원","691747020"
"2016","서울","1112000","서울중구","010","일반공공행정","016","일반행정","19112679809"
"2016","서울","1112000","서울중구","020","공공질서및안전","025","재난방재ㆍ민방위","2508782410"
"2016","서울","1112000","서울중구","050","교육","051","유아및초중등교육","4618946907"
"2016","서울","1112000","서울중구","060","문화및관광","061","문화예술","6485883357"
"2016","서울","1112000","서울중구","060","문화및관광","062","관광","649859330"
"2016","서울","1112000","서울중구","060","문화및관광","063","체육","11601937418"
"2016","서울","1112000","서울중구","060","문화및관광","064","문화재","694713610"
"2016","서울","1112000","서울중구","070","환경보호","071","상하수도ㆍ수질","1406342140"
"2016","서울","1112000","서울중구","070","환경보호","072","폐기물","22923688424"
"2016","서울","1112000","서울중구","070","환경보호","073","대기","27749800"
"2016","서울","1112000","서울중구","070","환경보호","076","환경보호일반","69082470"
"2016","서울","1112000","서울중구","080","사회복지","081","기초생활보장","17710108543"
"2016","서울","1112000","서울중구","080","사회복지","082","취약계층지원","12326293758"
"2016","서울","1112000","서울중구","080","사회복지","084","보육ㆍ가족및여성","34399540925"
"2016","서울","1112000","서울중구","080","사회복지","085","노인ㆍ청소년","32292884207"
"2016","서울","1112000","서울중구","080","사회복지","086","노동","2617438820"
"2016","서울","1112000","서울중구","080","사회복지","087","보훈","707507329"
"2016","서울","1112000","서울중구","080","사회복지","089","사회복지일반","464323000"
"2016","서울","1112000","서울중구","090","보건","091","보건의료","6213674670"
"2016","서울","1112000","서울중구","090","보건","093","식품의약안전","360508790"
"2016","서울","1112000","서울중구","100","농림해양수산","101","농업ㆍ농촌","178183950"
"2016","서울","1112000","서울중구","100","농림해양수산","102","임업ㆍ산촌","116903930"
"2016","서울","1112000","서울중구","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","5519802562"
