"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","세출결산액"
"2015","서울","1135000","서울강동구","010","일반공공행정","011","입법및선거관리","1350247650"
"2015","서울","1135000","서울강동구","010","일반공공행정","013","지방행정ㆍ재정지원","1561492370"
"2015","서울","1135000","서울강동구","010","일반공공행정","016","일반행정","17210243735"
"2015","서울","1135000","서울강동구","020","공공질서및안전","025","재난방재ㆍ민방위","2006071060"
"2015","서울","1135000","서울강동구","050","교육","051","유아및초중등교육","8436091570"
"2015","서울","1135000","서울강동구","050","교육","053","평생ㆍ직업교육","319909320"
"2015","서울","1135000","서울강동구","060","문화및관광","061","문화예술","3671088100"
"2015","서울","1135000","서울강동구","060","문화및관광","063","체육","10680859750"
"2015","서울","1135000","서울강동구","060","문화및관광","064","문화재","1577724700"
"2015","서울","1135000","서울강동구","070","환경보호","071","상하수도ㆍ수질","1703561230"
"2015","서울","1135000","서울강동구","070","환경보호","072","폐기물","13565757420"
"2015","서울","1135000","서울강동구","070","환경보호","073","대기","31440890"
"2015","서울","1135000","서울강동구","070","환경보호","076","환경보호일반","557573850"
"2015","서울","1135000","서울강동구","080","사회복지","081","기초생활보장","29557329720"
"2015","서울","1135000","서울강동구","080","사회복지","082","취약계층지원","22994775219"
"2015","서울","1135000","서울강동구","080","사회복지","084","보육ㆍ가족및여성","104959747678"
"2015","서울","1135000","서울강동구","080","사회복지","085","노인ㆍ청소년","67026886580"
"2015","서울","1135000","서울강동구","080","사회복지","086","노동","3109528050"
"2015","서울","1135000","서울강동구","080","사회복지","087","보훈","347680500"
"2015","서울","1135000","서울강동구","090","보건","091","보건의료","14308531830"
"2015","서울","1135000","서울강동구","100","농림해양수산","101","농업ㆍ농촌","1687157010"
"2015","서울","1135000","서울강동구","100","농림해양수산","102","임업ㆍ산촌","348000030"
"2015","서울","1135000","서울강동구","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","2090944100"
"2015","서울","1135000","서울강동구","110","산업ㆍ중소기업","115","에너지및자원개발","391978290"
"2015","서울","1135000","서울강동구","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","44924670"
"2015","서울","1135000","서울강동구","120","수송및교통","121","도로","9164731400"
"2015","서울","1135000","서울강동구","120","수송및교통","126","대중교통ㆍ물류등기타","10915334050"
"2015","서울","1135000","서울강동구","140","국토및지역개발","142","지역및도시","5789567000"
"2015","서울","1135000","서울강동구","160","예비비","161","예비비","0"
"2015","서울","1135000","서울강동구","900","기타","901","기타","101181522641"
"2015","부산","2600000","부산본청","010","일반공공행정","011","입법및선거관리","5920709620"
"2015","부산","2600000","부산본청","010","일반공공행정","013","지방행정ㆍ재정지원","136107930"
"2015","부산","2600000","부산본청","010","일반공공행정","016","일반행정","387590454375"
"2015","부산","2600000","부산본청","020","공공질서및안전","025","재난방재ㆍ민방위","151475420510"
"2015","부산","2600000","부산본청","020","공공질서및안전","026","소방","56069422230"
"2015","부산","2600000","부산본청","050","교육","051","유아및초중등교육","664623506000"
"2015","부산","2600000","부산본청","050","교육","053","평생ㆍ직업교육","7172812690"
"2015","부산","2600000","부산본청","060","문화및관광","061","문화예술","121444232010"
"2015","부산","2600000","부산본청","060","문화및관광","062","관광","18976535710"
"2015","부산","2600000","부산본청","060","문화및관광","063","체육","87028047260"
"2015","부산","2600000","부산본청","060","문화및관광","064","문화재","10306096960"
"2015","부산","2600000","부산본청","070","환경보호","071","상하수도ㆍ수질","428926132622"
"2015","부산","2600000","부산본청","070","환경보호","072","폐기물","34961877840"
"2015","부산","2600000","부산본청","070","환경보호","073","대기","14227757080"
"2015","부산","2600000","부산본청","070","환경보호","074","자연","4045019260"
"2015","부산","2600000","부산본청","070","환경보호","076","환경보호일반","2410720960"
"2015","부산","2600000","부산본청","080","사회복지","081","기초생활보장","625747718080"
"2015","부산","2600000","부산본청","080","사회복지","082","취약계층지원","11225776160"
"2015","부산","2600000","부산본청","080","사회복지","084","보육ㆍ가족및여성","25914767570"
"2015","부산","2600000","부산본청","080","사회복지","085","노인ㆍ청소년","76456450620"
"2015","부산","2600000","부산본청","080","사회복지","086","노동","19475887410"
"2015","부산","2600000","부산본청","080","사회복지","087","보훈","1175598610"
"2015","부산","2600000","부산본청","090","보건","091","보건의료","34824993190"
"2015","부산","2600000","부산본청","090","보건","093","식품의약안전","3961144220"
"2015","부산","2600000","부산본청","100","농림해양수산","101","농업ㆍ농촌","10599214190"
"2015","부산","2600000","부산본청","100","농림해양수산","102","임업ㆍ산촌","14889761630"
"2015","부산","2600000","부산본청","100","농림해양수산","103","해양수산ㆍ어촌","50793006930"
"2015","부산","2600000","부산본청","110","산업ㆍ중소기업","112","산업기술지원","39384099520"
"2015","부산","2600000","부산본청","110","산업ㆍ중소기업","113","무역및투자유치","58904735150"
"2015","부산","2600000","부산본청","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","123596903110"
"2015","부산","2600000","부산본청","110","산업ㆍ중소기업","115","에너지및자원개발","28565835530"
"2015","부산","2600000","부산본청","120","수송및교통","121","도로","367181944280"
"2015","부산","2600000","부산본청","120","수송및교통","123","도시철도","866417680190"
"2015","부산","2600000","부산본청","120","수송및교통","126","대중교통ㆍ물류등기타","426629482150"
"2015","부산","2600000","부산본청","140","국토및지역개발","141","수자원","39574154430"
"2015","부산","2600000","부산본청","140","국토및지역개발","142","지역및도시","324732325340"
"2015","부산","2600000","부산본청","140","국토및지역개발","143","산업단지","15293745750"
"2015","부산","2600000","부산본청","160","예비비","161","예비비","0"
"2015","부산","2600000","부산본청","900","기타","901","기타","668807130855"
"2015","부산","2611000","부산중구","010","일반공공행정","011","입법및선거관리","433117140"
"2015","부산","2611000","부산중구","010","일반공공행정","013","지방행정ㆍ재정지원","687960420"
"2015","부산","2611000","부산중구","010","일반공공행정","016","일반행정","5315017580"
"2015","부산","2611000","부산중구","020","공공질서및안전","025","재난방재ㆍ민방위","1053159700"
"2015","부산","2611000","부산중구","050","교육","051","유아및초중등교육","533867450"
"2015","부산","2611000","부산중구","050","교육","053","평생ㆍ직업교육","114821210"
"2015","부산","2611000","부산중구","060","문화및관광","061","문화예술","171439890"
"2015","부산","2611000","부산중구","060","문화및관광","063","체육","413997690"
"2015","부산","2611000","부산중구","060","문화및관광","065","문화및관광일반","2581291050"
"2015","부산","2611000","부산중구","070","환경보호","071","상하수도ㆍ수질","8704770"
"2015","부산","2611000","부산중구","070","환경보호","072","폐기물","5317840880"
"2015","부산","2611000","부산중구","070","환경보호","076","환경보호일반","226628230"
"2015","부산","2611000","부산중구","080","사회복지","081","기초생활보장","9545050630"
"2015","부산","2611000","부산중구","080","사회복지","082","취약계층지원","4287664100"
"2015","부산","2611000","부산중구","080","사회복지","084","보육ㆍ가족및여성","7556529510"
"2015","부산","2611000","부산중구","080","사회복지","085","노인ㆍ청소년","19530702410"
"2015","부산","2611000","부산중구","080","사회복지","086","노동","781967370"
"2015","부산","2611000","부산중구","080","사회복지","087","보훈","413091490"
"2015","부산","2611000","부산중구","080","사회복지","088","주택","1115009930"
"2015","부산","2611000","부산중구","090","보건","091","보건의료","2165065700"
"2015","부산","2611000","부산중구","090","보건","093","식품의약안전","23957580"
"2015","부산","2611000","부산중구","100","농림해양수산","101","농업ㆍ농촌","96174600"
"2015","부산","2611000","부산중구","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","3072964150"
"2015","부산","2611000","부산중구","110","산업ㆍ중소기업","115","에너지및자원개발","153126000"
"2015","부산","2611000","부산중구","120","수송및교통","121","도로","7946723000"
"2015","부산","2611000","부산중구","120","수송및교통","126","대중교통ㆍ물류등기타","3193525080"
"2015","부산","2611000","부산중구","140","국토및지역개발","142","지역및도시","3816634020"
"2015","부산","2611000","부산중구","160","예비비","161","예비비","0"
"2015","부산","2611000","부산중구","900","기타","901","기타","37529602860"
"2015","부산","2612000","부산서구","010","일반공공행정","011","입법및선거관리","939917780"
"2015","부산","2612000","부산서구","010","일반공공행정","013","지방행정ㆍ재정지원","1231063240"
"2015","부산","2612000","부산서구","010","일반공공행정","014","재정ㆍ금융","135499940"
"2015","부산","2612000","부산서구","010","일반공공행정","016","일반행정","14550470700"
"2015","부산","2612000","부산서구","020","공공질서및안전","025","재난방재ㆍ민방위","2276942900"
"2015","부산","2612000","부산서구","050","교육","051","유아및초중등교육","648062830"
"2015","부산","2612000","부산서구","050","교육","053","평생ㆍ직업교육","558084940"
"2015","부산","2612000","부산서구","060","문화및관광","061","문화예술","743666750"
"2015","부산","2612000","부산서구","060","문화및관광","062","관광","1142439520"
"2015","부산","2612000","부산서구","060","문화및관광","063","체육","707219600"
"2015","부산","2612000","부산서구","060","문화및관광","064","문화재","492286460"
"2015","부산","2612000","부산서구","060","문화및관광","065","문화및관광일반","90720"
"2015","부산","2612000","부산서구","070","환경보호","071","상하수도ㆍ수질","23125300"
"2015","부산","2612000","부산서구","070","환경보호","072","폐기물","8192776110"
"2015","부산","2612000","부산서구","070","환경보호","076","환경보호일반","823346530"
"2015","부산","2612000","부산서구","080","사회복지","081","기초생활보장","21002715680"
"2015","부산","2612000","부산서구","080","사회복지","082","취약계층지원","36302777100"
"2015","부산","2612000","부산서구","080","사회복지","084","보육ㆍ가족및여성","6583381310"
"2015","부산","2612000","부산서구","080","사회복지","085","노인ㆍ청소년","46412307290"
"2015","부산","2612000","부산서구","080","사회복지","086","노동","1007396410"
"2015","부산","2612000","부산서구","090","보건","091","보건의료","7458912720"
"2015","부산","2612000","부산서구","090","보건","093","식품의약안전","21119340"
"2015","부산","2612000","부산서구","100","농림해양수산","101","농업ㆍ농촌","617552530"
"2015","부산","2612000","부산서구","100","농림해양수산","102","임업ㆍ산촌","2563440860"
"2015","부산","2612000","부산서구","100","농림해양수산","103","해양수산ㆍ어촌","5120144400"
"2015","부산","2612000","부산서구","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","1912866640"
"2015","부산","2612000","부산서구","110","산업ㆍ중소기업","115","에너지및자원개발","96521240"
"2015","부산","2612000","부산서구","120","수송및교통","121","도로","6422378700"
"2015","부산","2612000","부산서구","120","수송및교통","126","대중교통ㆍ물류등기타","316846393"
"2015","부산","2612000","부산서구","140","국토및지역개발","141","수자원","1873461730"
"2015","부산","2612000","부산서구","140","국토및지역개발","142","지역및도시","9172499680"
"2015","부산","2612000","부산서구","160","예비비","161","예비비","0"
"2015","부산","2612000","부산서구","900","기타","901","기타","42655463695"
"2015","부산","2613000","부산동구","010","일반공공행정","011","입법및선거관리","521891000"
"2015","부산","2613000","부산동구","010","일반공공행정","013","지방행정ㆍ재정지원","403097370"
"2015","부산","2613000","부산동구","010","일반공공행정","016","일반행정","7992197330"
"2015","부산","2613000","부산동구","020","공공질서및안전","025","재난방재ㆍ민방위","1572227580"
"2015","부산","2613000","부산동구","050","교육","051","유아및초중등교육","493142470"
"2015","부산","2613000","부산동구","060","문화및관광","061","문화예술","895699700"
"2015","부산","2613000","부산동구","060","문화및관광","062","관광","48181560"
"2015","부산","2613000","부산동구","060","문화및관광","063","체육","1353067070"
"2015","부산","2613000","부산동구","060","문화및관광","064","문화재","535091730"
"2015","부산","2613000","부산동구","070","환경보호","071","상하수도ㆍ수질","26555040"
"2015","부산","2613000","부산동구","070","환경보호","072","폐기물","5889252170"
"2015","부산","2613000","부산동구","070","환경보호","073","대기","687641320"
"2015","부산","2613000","부산동구","070","환경보호","076","환경보호일반","30182320"
"2015","부산","2613000","부산동구","080","사회복지","081","기초생활보장","29368915910"
"2015","부산","2613000","부산동구","080","사회복지","082","취약계층지원","12357664150"
