"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","세출결산액"
"2017","서울","1100000","서울본청","010","일반공공행정","011","입법및선거관리","21329011843"
"2017","서울","1100000","서울본청","010","일반공공행정","013","지방행정ㆍ재정지원","1991020"
"2017","서울","1100000","서울본청","010","일반공공행정","014","재정ㆍ금융","629279453828"
"2017","서울","1100000","서울본청","010","일반공공행정","016","일반행정","556955889308"
"2017","서울","1100000","서울본청","020","공공질서및안전","023","경찰","1334475794"
"2017","서울","1100000","서울본청","020","공공질서및안전","025","재난방재ㆍ민방위","26366202821"
"2017","서울","1100000","서울본청","020","공공질서및안전","026","소방","204647162327"
"2017","서울","1100000","서울본청","050","교육","051","유아및초중등교육","3636348263220"
"2017","서울","1100000","서울본청","050","교육","053","평생ㆍ직업교육","15257976599"
"2017","서울","1100000","서울본청","060","문화및관광","061","문화예술","206256487676"
"2017","서울","1100000","서울본청","060","문화및관광","062","관광","53241931567"
"2017","서울","1100000","서울본청","060","문화및관광","063","체육","117531672703"
"2017","서울","1100000","서울본청","060","문화및관광","064","문화재","124430750017"
"2017","서울","1100000","서울본청","060","문화및관광","065","문화및관광일반","78123845528"
"2017","서울","1100000","서울본청","070","환경보호","071","상하수도ㆍ수질","1223222111782"
"2017","서울","1100000","서울본청","070","환경보호","072","폐기물","133972780740"
"2017","서울","1100000","서울본청","070","환경보호","073","대기","185047247822"
"2017","서울","1100000","서울본청","070","환경보호","074","자연","42890130490"
"2017","서울","1100000","서울본청","070","환경보호","076","환경보호일반","80591109590"
"2017","서울","1100000","서울본청","080","사회복지","082","취약계층지원","1545593352429"
"2017","서울","1100000","서울본청","080","사회복지","084","보육ㆍ가족및여성","276783094246"
"2017","서울","1100000","서울본청","080","사회복지","085","노인ㆍ청소년","345340395498"
"2017","서울","1100000","서울본청","080","사회복지","086","노동","115801012464"
"2017","서울","1100000","서울본청","080","사회복지","088","주택","1222920722452"
"2017","서울","1100000","서울본청","080","사회복지","089","사회복지일반","9572934104"
"2017","서울","1100000","서울본청","090","보건","091","보건의료","169634131346"
"2017","서울","1100000","서울본청","090","보건","093","식품의약안전","3117395344"
"2017","서울","1100000","서울본청","100","농림해양수산","101","농업ㆍ농촌","20336046280"
"2017","서울","1100000","서울본청","110","산업ㆍ중소기업","113","무역및투자유치","11957057816"
"2017","서울","1100000","서울본청","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","192948628377"
"2017","서울","1100000","서울본청","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","1813611090"
"2017","서울","1100000","서울본청","120","수송및교통","121","도로","826529705761"
"2017","서울","1100000","서울본청","120","수송및교통","123","도시철도","1006440636073"
"2017","서울","1100000","서울본청","120","수송및교통","126","대중교통ㆍ물류등기타","1583842993995"
"2017","서울","1100000","서울본청","140","국토및지역개발","141","수자원","277984441250"
"2017","서울","1100000","서울본청","140","국토및지역개발","142","지역및도시","485827618775"
"2017","서울","1100000","서울본청","140","국토및지역개발","143","산업단지","1788001050"
"2017","서울","1100000","서울본청","150","과학기술","153","과학기술일반","1915419270"
"2017","서울","1100000","서울본청","160","예비비","161","예비비","0"
"2017","서울","1100000","서울본청","900","기타","901","기타","1626999054554"
"2017","서울","1111000","서울종로구","010","일반공공행정","011","입법및선거관리","1271702770"
"2017","서울","1111000","서울종로구","010","일반공공행정","013","지방행정ㆍ재정지원","1007450330"
"2017","서울","1111000","서울종로구","010","일반공공행정","016","일반행정","46629470630"
"2017","서울","1111000","서울종로구","020","공공질서및안전","025","재난방재ㆍ민방위","1107149580"
"2017","서울","1111000","서울종로구","050","교육","051","유아및초중등교육","4673441730"
"2017","서울","1111000","서울종로구","050","교육","053","평생ㆍ직업교육","222056140"
"2017","서울","1111000","서울종로구","060","문화및관광","061","문화예술","7052605960"
"2017","서울","1111000","서울종로구","060","문화및관광","062","관광","1854664730"
"2017","서울","1111000","서울종로구","060","문화및관광","063","체육","8680601610"
"2017","서울","1111000","서울종로구","060","문화및관광","064","문화재","5363021440"
"2017","서울","1111000","서울종로구","070","환경보호","071","상하수도ㆍ수질","5396844640"
"2017","서울","1111000","서울종로구","070","환경보호","072","폐기물","21896321710"
"2017","서울","1111000","서울종로구","070","환경보호","073","대기","184659950"
"2017","서울","1111000","서울종로구","070","환경보호","076","환경보호일반","66052910"
"2017","서울","1111000","서울종로구","080","사회복지","081","기초생활보장","19118687110"
"2017","서울","1111000","서울종로구","080","사회복지","082","취약계층지원","12261484490"
"2017","서울","1111000","서울종로구","080","사회복지","084","보육ㆍ가족및여성","37115487740"
"2017","서울","1111000","서울종로구","080","사회복지","085","노인ㆍ청소년","42769806180"
"2017","서울","1111000","서울종로구","080","사회복지","086","노동","3226653880"
"2017","서울","1111000","서울종로구","080","사회복지","089","사회복지일반","18900480"
"2017","서울","1111000","서울종로구","090","보건","091","보건의료","6992594400"
"2017","서울","1111000","서울종로구","090","보건","093","식품의약안전","173245920"
"2017","서울","1111000","서울종로구","100","농림해양수산","102","임업ㆍ산촌","435493560"
"2017","서울","1111000","서울종로구","110","산업ㆍ중소기업","115","에너지및자원개발","107690040"
"2017","서울","1111000","서울종로구","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","1469586380"
"2017","서울","1111000","서울종로구","120","수송및교통","121","도로","10077109220"
"2017","서울","1111000","서울종로구","120","수송및교통","126","대중교통ㆍ물류등기타","8800031010"
"2017","서울","1111000","서울종로구","140","국토및지역개발","142","지역및도시","8242332690"
"2017","서울","1111000","서울종로구","160","예비비","161","예비비","0"
"2017","서울","1111000","서울종로구","900","기타","901","기타","106863508060"
"2017","서울","1112000","서울중구","010","일반공공행정","011","입법및선거관리","1032381774"
"2017","서울","1112000","서울중구","010","일반공공행정","013","지방행정ㆍ재정지원","779949330"
"2017","서울","1112000","서울중구","010","일반공공행정","016","일반행정","18453390084"
"2017","서울","1112000","서울중구","020","공공질서및안전","025","재난방재ㆍ민방위","3118422450"
"2017","서울","1112000","서울중구","050","교육","051","유아및초중등교육","5515772690"
"2017","서울","1112000","서울중구","050","교육","053","평생ㆍ직업교육","1866901227"
"2017","서울","1112000","서울중구","060","문화및관광","061","문화예술","4445579915"
"2017","서울","1112000","서울중구","060","문화및관광","062","관광","802332950"
"2017","서울","1112000","서울중구","060","문화및관광","063","체육","11910571695"
"2017","서울","1112000","서울중구","060","문화및관광","064","문화재","1003215250"
"2017","서울","1112000","서울중구","070","환경보호","071","상하수도ㆍ수질","2189963042"
"2017","서울","1112000","서울중구","070","환경보호","072","폐기물","22425784290"
"2017","서울","1112000","서울중구","070","환경보호","073","대기","51290400"
"2017","서울","1112000","서울중구","070","환경보호","076","환경보호일반","129987190"
"2017","서울","1112000","서울중구","080","사회복지","081","기초생활보장","19520923095"
"2017","서울","1112000","서울중구","080","사회복지","082","취약계층지원","12677847237"
"2017","서울","1112000","서울중구","080","사회복지","084","보육ㆍ가족및여성","36107242333"
"2017","서울","1112000","서울중구","080","사회복지","085","노인ㆍ청소년","33894222440"
"2017","서울","1112000","서울중구","080","사회복지","086","노동","3210281300"
"2017","서울","1112000","서울중구","080","사회복지","087","보훈","813176990"
"2017","서울","1112000","서울중구","080","사회복지","089","사회복지일반","467088710"
"2017","서울","1112000","서울중구","090","보건","091","보건의료","7119384320"
"2017","서울","1112000","서울중구","090","보건","093","식품의약안전","354497510"
"2017","서울","1112000","서울중구","100","농림해양수산","101","농업ㆍ농촌","303518200"
"2017","서울","1112000","서울중구","100","농림해양수산","102","임업ㆍ산촌","102557000"
"2017","서울","1112000","서울중구","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","7206856652"
"2017","서울","1112000","서울중구","110","산업ㆍ중소기업","115","에너지및자원개발","65117990"
"2017","서울","1112000","서울중구","120","수송및교통","121","도로","7545698440"
"2017","서울","1112000","서울중구","120","수송및교통","126","대중교통ㆍ물류등기타","15677471681"
"2017","서울","1112000","서울중구","140","국토및지역개발","142","지역및도시","26858416260"
"2017","서울","1112000","서울중구","160","예비비","161","예비비","0"
"2017","서울","1112000","서울중구","900","기타","901","기타","107860290291"
"2017","서울","1113000","서울용산구","010","일반공공행정","011","입법및선거관리","1207941663"
"2017","서울","1113000","서울용산구","010","일반공공행정","013","지방행정ㆍ재정지원","929095350"
"2017","서울","1113000","서울용산구","010","일반공공행정","016","일반행정","35305090136"
"2017","서울","1113000","서울용산구","020","공공질서및안전","025","재난방재ㆍ민방위","1095154410"
"2017","서울","1113000","서울용산구","050","교육","051","유아및초중등교육","5105844860"
"2017","서울","1113000","서울용산구","050","교육","053","평생ㆍ직업교육","413727695"
"2017","서울","1113000","서울용산구","060","문화및관광","061","문화예술","3009411340"
"2017","서울","1113000","서울용산구","060","문화및관광","062","관광","457140550"
"2017","서울","1113000","서울용산구","060","문화및관광","063","체육","3379341630"
"2017","서울","1113000","서울용산구","060","문화및관광","064","문화재","679967880"
"2017","서울","1113000","서울용산구","070","환경보호","071","상하수도ㆍ수질","5088357500"
"2017","서울","1113000","서울용산구","070","환경보호","072","폐기물","18234694120"
"2017","서울","1113000","서울용산구","070","환경보호","073","대기","17304180"
"2017","서울","1113000","서울용산구","070","환경보호","076","환경보호일반","70350540"
"2017","서울","1113000","서울용산구","080","사회복지","081","기초생활보장","28228188260"
"2017","서울","1113000","서울용산구","080","사회복지","082","취약계층지원","14220072100"
"2017","서울","1113000","서울용산구","080","사회복지","084","보육ㆍ가족및여성","46641557281"
"2017","서울","1113000","서울용산구","080","사회복지","085","노인ㆍ청소년","44824675470"
"2017","서울","1113000","서울용산구","080","사회복지","086","노동","1538281600"
"2017","서울","1113000","서울용산구","080","사회복지","087","보훈","642089110"
"2017","서울","1113000","서울용산구","090","보건","091","보건의료","7605322790"
"2017","서울","1113000","서울용산구","090","보건","093","식품의약안전","18167000"
"2017","서울","1113000","서울용산구","100","농림해양수산","101","농업ㆍ농촌","119665030"
"2017","서울","1113000","서울용산구","100","농림해양수산","102","임업ㆍ산촌","32951090"
"2017","서울","1113000","서울용산구","110","산업ㆍ중소기업","111","산업금융지원","270185530"
"2017","서울","1113000","서울용산구","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","1905312640"
"2017","서울","1113000","서울용산구","120","수송및교통","121","도로","9811909120"
"2017","서울","1113000","서울용산구","120","수송및교통","126","대중교통ㆍ물류등기타","6693366820"
"2017","서울","1113000","서울용산구","140","국토및지역개발","142","지역및도시","4991957365"
"2017","서울","1113000","서울용산구","160","예비비","161","예비비","0"
"2017","서울","1113000","서울용산구","900","기타","901","기타","103715654740"
"2017","서울","1114000","서울성동구","010","일반공공행정","011","입법및선거관리","1231687350"
"2017","서울","1114000","서울성동구","010","일반공공행정","013","지방행정ㆍ재정지원","132278030"
"2017","서울","1114000","서울성동구","010","일반공공행정","016","일반행정","28324407490"
"2017","서울","1114000","서울성동구","020","공공질서및안전","023","경찰","17090260"
"2017","서울","1114000","서울성동구","020","공공질서및안전","025","재난방재ㆍ민방위","2701660550"
"2017","서울","1114000","서울성동구","050","교육","051","유아및초중등교육","10101491490"
"2017","서울","1114000","서울성동구","050","교육","053","평생ㆍ직업교육","2592560200"
"2017","서울","1114000","서울성동구","060","문화및관광","061","문화예술","666567050"
"2017","서울","1114000","서울성동구","060","문화및관광","063","체육","12608690390"
"2017","서울","1114000","서울성동구","060","문화및관광","064","문화재","866959660"
"2017","서울","1114000","서울성동구","060","문화및관광","065","문화및관광일반","7467261740"
"2017","서울","1114000","서울성동구","070","환경보호","072","폐기물","19903454950"
"2017","서울","1114000","서울성동구","070","환경보호","076","환경보호일반","392394570"
"2017","서울","1114000","서울성동구","080","사회복지","081","기초생활보장","30353719020"
"2017","서울","1114000","서울성동구","080","사회복지","082","취약계층지원","18868601830"
"2017","서울","1114000","서울성동구","080","사회복지","084","보육ㆍ가족및여성","73180184410"
"2017","서울","1114000","서울성동구","080","사회복지","085","노인ㆍ청소년","58722967700"
"2017","서울","1114000","서울성동구","080","사회복지","089","사회복지일반","101894000"
"2017","서울","1114000","서울성동구","090","보건","091","보건의료","12225367750"
"2017","서울","1114000","서울성동구","090","보건","093","식품의약안전","327060290"
"2017","서울","1114000","서울성동구","100","농림해양수산","101","농업ㆍ농촌","226258590"
"2017","서울","1114000","서울성동구","100","농림해양수산","102","임업ㆍ산촌","104645520"
"2017","서울","1114000","서울성동구","110","산업ㆍ중소기업","111","산업금융지원","0"
"2017","서울","1114000","서울성동구","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","6735835630"
"2017","서울","1114000","서울성동구","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","5404597740"
"2017","서울","1114000","서울성동구","120","수송및교통","121","도로","5783963050"
"2017","서울","1114000","서울성동구","120","수송및교통","126","대중교통ㆍ물류등기타","14638947420"
"2017","서울","1114000","서울성동구","140","국토및지역개발","141","수자원","4199210010"
"2017","서울","1114000","서울성동구","140","국토및지역개발","142","지역및도시","13006930110"
"2017","서울","1114000","서울성동구","160","예비비","161","예비비","0"
"2017","서울","1114000","서울성동구","900","기타","901","기타","111741440340"
"2017","서울","1115000","서울광진구","010","일반공공행정","011","입법및선거관리","1347682615"
"2017","서울","1115000","서울광진구","010","일반공공행정","013","지방행정ㆍ재정지원","767702820"
"2017","서울","1115000","서울광진구","010","일반공공행정","016","일반행정","48562185283"
"2017","서울","1115000","서울광진구","020","공공질서및안전","025","재난방재ㆍ민방위","1294341700"
"2017","서울","1115000","서울광진구","050","교육","051","유아및초중등교육","7640442260"
"2017","서울","1115000","서울광진구","050","교육","053","평생ㆍ직업교육","3583544930"
"2017","서울","1115000","서울광진구","060","문화및관광","061","문화예술","7024503440"
"2017","서울","1115000","서울광진구","060","문화및관광","063","체육","6609403260"
"2017","서울","1115000","서울광진구","070","환경보호","072","폐기물","28701425570"
"2017","서울","1115000","서울광진구","070","환경보호","076","환경보호일반","203973330"
"2017","서울","1115000","서울광진구","080","사회복지","081","기초생활보장","28883511890"
"2017","서울","1115000","서울광진구","080","사회복지","082","취약계층지원","13839688962"
"2017","서울","1115000","서울광진구","080","사회복지","084","보육ㆍ가족및여성","85134061900"
"2017","서울","1115000","서울광진구","080","사회복지","085","노인ㆍ청소년","52969725050"
"2017","서울","1115000","서울광진구","080","사회복지","086","노동","4430544770"
"2017","서울","1115000","서울광진구","080","사회복지","089","사회복지일반","5904896100"
"2017","서울","1115000","서울광진구","090","보건","091","보건의료","12681713730"
"2017","서울","1115000","서울광진구","090","보건","093","식품의약안전","111565590"
"2017","서울","1115000","서울광진구","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","1459916940"
"2017","서울","1115000","서울광진구","110","산업ㆍ중소기업","115","에너지및자원개발","407552450"
"2017","서울","1115000","서울광진구","120","수송및교통","121","도로","10115997114"
"2017","서울","1115000","서울광진구","120","수송및교통","126","대중교통ㆍ물류등기타","5384318390"
"2017","서울","1115000","서울광진구","140","국토및지역개발","141","수자원","4709835480"
"2017","서울","1115000","서울광진구","140","국토및지역개발","142","지역및도시","5328948530"
"2017","서울","1115000","서울광진구","160","예비비","161","예비비","0"
"2017","서울","1115000","서울광진구","900","기타","901","기타","102450429205"
"2017","서울","1116000","서울동대문구","010","일반공공행정","011","입법및선거관리","1666725780"
"2017","서울","1116000","서울동대문구","010","일반공공행정","013","지방행정ㆍ재정지원","615521870"
"2017","서울","1116000","서울동대문구","010","일반공공행정","016","일반행정","40653035891"
"2017","서울","1116000","서울동대문구","020","공공질서및안전","025","재난방재ㆍ민방위","1120577820"
"2017","서울","1116000","서울동대문구","050","교육","051","유아및초중등교육","10789953570"
"2017","서울","1116000","서울동대문구","050","교육","053","평생ㆍ직업교육","335632140"
"2017","서울","1116000","서울동대문구","060","문화및관광","061","문화예술","3563490230"
"2017","서울","1116000","서울동대문구","060","문화및관광","063","체육","1150640400"
"2017","서울","1116000","서울동대문구","070","환경보호","071","상하수도ㆍ수질","1084031090"
"2017","서울","1116000","서울동대문구","070","환경보호","072","폐기물","26185196650"
